"出典
注",atomic number,,,atomic weight (g),,,"E Clementi, D L Raimondi, W P Reinhardt (1963) J Chem Phys. 38:2686.","J C Slater (1964) J Chem Phys 41:3199

J C Slater (1965) Quantum Theory of Molecules and Solids. Symmetry and Bonds in Crystals. Vol 2. McGraw-Hill, New York.
計算値は以下の元素に使用されています: He、Ne、Ar、Kr、Xe、At、Rn。これらのデータの出典は以下の通りです。
E Clementi, D L Raimondi, W P Reinhardt (1963) J Chem Phys 38:2686",,van-der-waals radius,,"A.L. Allred , E.G. Rochow, , J. Inorg. Nucl. Chem., 1958, 5, 264の近似",melting point (K)　,boiling point (K),(kJ/mol)," (g/cm3)

at 298 K","(1/K)

Coefficient of linear expansion at 25°C",(J/mol K)," (W/cm K)

 Thermal conductivity at 300 K",(eV),"(eV)

斜線 = not stable
空欄 = データなし",Number of valence electrons,"(J/m2)

Persson et al　
http://crystalium.materialsvirtuallab.org/"
,AN,symbol,name,AW,group,period,atomic radius,ionic radius,covalent radius,VdW radius,crystal radius,electronegativity,m. p.,b. p.,delta_fus H ,density,a x 106 ,Heat capacity ,l,ionization enegy ,electron affinity ,VE,Surface energy 
,1,H,hydrogen,1.0079,1,1,0.53,0.25,0.37,1.2,0.1,2.2,14.01,20.28,0.12,,,28.836,,13.5984,0.754195,1,
,2,He,helium,4.0026,18,1,0.31,0.31,0.32,1.4,,,,4.222,,,,20.786,,24.5874,,2,
,3,Li,lithium,6.941,1,2,1.67,1.45,1.34,1.82,0.9,0.97,453.69,1615,3,0.534,46,24.86,0.847,5.3917,0.618049,1,0.46
,4,Be,beryllium,9.0122,2,2,1.12,1.05,0.9,,0.41,1.47,1560,2742,7.895,1.85,11.3,16.443,2,9.3227,,2,1.79
,5,B,boron,10.811,13,2,0.87,0.85,0.82,,0.25,2.01,2349,4200,50.2,2.34,,11.087,,8.298,0.279723,3,2.74
,6,C,carbon,12.0107,14,2,0.67,0.7,0.77,1.7,0.29,2.5,3800,4300,117,2.2,,8.517,19.5,11.2603,1.262119,4,-0.02
,7,N,nitrogen,14.0067,15,2,0.56,0.65,0.75,1.55,0.3,3.07,63.05,77.36,0.71,3.513,,29.124,,14.5341,,5,
,8,O,oxygen,15.9994,16,2,0.48,0.6,0.73,1.52,1.21,3.5,54.8,90.2,0.44,,,29.378,,13.6181,1.4611096,6,
,9,F,fluorine,18.9984,17,2,0.42,0.5,0.71,1.47,1.19,4.1,53.53,85.03,0.51,,,31.304,,17.4228,3.4011895,7,
,10,Ne,neon,20.1797,18,2,0.38,0.38,0.69,1.54,,,24.56,27.07,0.328,,,20.786,,21.5645,,8,
,11,Na,sodium,22.9898,1,3,1.9,1.8,1.54,2.27,1.16,1.01,370.87,1156,2.6,0.97,71,28.23,1.41,5.1391,0.547926,1,0.21
,12,Mg,magnesium,24.305,2,3,1.45,1.5,1.3,1.73,0.86,1.23,923,1363,8.48,1.74,24.8,24.869,1.56,7.6462,,2,0.54
,13,Al,aluminium,26.9815,13,3,1.18,1.25,1.18,,0.53,1.47,933.47,2792,10.789,2.7,23.1,24.2,2.37,5.9858,0.43283,3,0.8
,14,Si,silicon,28.0855,14,3,1.11,1.1,1.11,2.1,0.4,1.74,1687,3173,50.21,2.329,,19.789,1.49,8.1517,1.389522,4,1.28
,15,P,phosphorus,30.9738,15,3,0.98,1,1.06,1.8,0.31,2.06,317.3,550,0.66,1.823,,23.824,,10.4867,0.7465,5,0.57
,16,S,sulfur,32.065,16,3,0.88,1,1.02,1.8,0.43,2.44,388.36,717.87,1.72,2.07,,22.75,,10.36,2.077103,6,0.01
,17,Cl,chlorine,35.453,17,3,0.79,1,0.99,1.75,1.67,2.83,171.6,239.11,6.4,,,33.949,,12.9676,3.612724,7,
,18,Ar,argon,39.948,18,3,0.71,0.71,0.97,1.88,,,83.8,87.3,1.18,,,20.786,,15.7596,,8,
,19,K,potassium,39.0983,1,4,2.43,2.2,1.96,2.75,1.52,0.91,336.53,1032,2.33,0.89,83.3,29.6,1.024,4.3407,0.50147,1,0.11
,20,Ca,calcium,40.078,2,4,1.94,1.8,1.74,,1.14,1.04,1115,1757,8.54,1.54,22.3,25.929,2,6.1132,0.02455,2,0.46
,21,Sc,scandium,44.9559,3,4,1.84,1.6,1.44,,0.89,1.2,1814,3103,14.1,2.99,10.2,25.52,0.158,6.5615,0.188,3,1.2
,22,Ti,titanium,47.867,4,4,1.76,1.4,1.36,,0.75,1.32,1941,3560,14.15,4.51,8.6,25.06,0.219,6.8281,0.079,4,1.93
,23,V,vanadium,50.9415,5,4,1.71,1.35,1.25,,0.68,1.45,2183,3680,21.5,6,8.4,24.89,0.307,6.7462,0.525,5,2.38
,24,Cr,chromium,51.9961,6,4,1.66,1.4,1.27,,0.76,1.56,2180,2944,21,7.15,4.9,23.35,0.937,6.7665,0.666,6,3.2
,25,Mn,manganese,54.938,7,4,1.61,1.4,1.39,,0.81,1.6,1519,2334,12.91,7.3,21.7,26.32,0.0782,7.434,,7,3.39
,26,Fe,iron,55.845,8,4,1.56,1.4,1.25,,0.69,1.64,1811,3134,13.81,7.87,11.8,25.1,0.802,7.9024,0.151,8,2.45
,27,Co,cobalt,58.9332,9,4,1.52,1.35,1.26,,0.54,1.7,1768,3200,16.06,8.86,13,24.81,1,7.881,0.662,9,2.11
,28,Ni,nickel,58.6934,10,4,1.49,1.35,1.21,1.63,0.7,1.75,1728,3186,17.04,8.9,13.4,26.07,0.907,7.6398,1.156,10,1.92
,29,Cu,copper,63.546,11,4,1.45,1.35,1.38,1.4,0.71,1.75,1357.77,3200,12.93,8.96,16.5,24.44,4.01,7.7264,1.235,11,1.31
,30,Zn,zinc,65.38,12,4,1.42,1.35,1.31,1.39,0.74,1.66,692.68,1180,7.068,7.14,30.2,25.39,1.16,9.3942,,12,0.35
,31,Ga,gallium,69.723,13,4,1.36,1.3,1.26,1.87,0.76,1.82,302.91,2477,5.576,5.91,18,25.86,0.406,5.9993,0.43,3,0.48
,32,Ge,germanium,72.64,14,4,1.25,1.25,1.22,,0.53,2.02,1211.4,3093,36.94,5.3234,6,23.222,0.602,7.8994,1.232712,4,0.87
,33,As,arsenic,74.9216,15,4,1.14,1.15,1.19,1.85,0.72,2.2,1090,887,24.44,5.75,,24.64,0.502,9.7886,0.814,5,0.1
,34,Se,selenium,78.96,16,4,1.03,1.15,1.16,1.9,0.56,2.48,494,958,6.69,4.81,37,25.363,0.00519,9.7524,2.02067,6,0.05
,35,Br,bromine,79.904,17,4,0.94,1.15,1.14,1.85,1.82,2.74,265.8,332,10.57,,,36.057,0.00122,11.8138,3.363588,7,
,36,Kr,krypton,83.798,18,4,0.88,0.88,1.1,2.02,,,115.79,119.93,1.64,,,20.786,0.0943,13.9996,,8,
,37,Rb,rubidium,85.4678,1,5,2.65,2.35,2.11,,1.66,0.89,312.46,961,2.19,1.53,,31.06,0.582,4.1771,0.48592,1,0.08
,38,Sr,strontium,87.62,2,5,2.19,2,1.92,,1.32,0.99,1050,1655,7.43,2.64,22.5,26.4,0.353,5.6949,0.048,2,0.34
,39,Y,yttrium,88.9059,3,5,2.12,1.85,1.62,,1.04,1.11,1799,3609,11.4,4.47,10.6,26.53,0.172,6.2171,0.307,3,0.96
,40,Zr,zirconium,91.224,4,5,2.06,1.55,1.48,,0.86,1.22,2128,4682,21,6.52,5.7,25.36,0.227,6.6339,0.426,4,1.57
,41,Nb,niobium,92.9064,5,5,1.98,1.45,1.37,,0.78,1.23,2750,5017,30,8.57,7.3,24.6,0.537,6.7589,0.893,5,2.07
,42,Mo,molybdenum,95.96,6,5,1.9,1.45,1.45,,0.79,1.3,2896,4912,37.48,10.2,4.8,24.06,1.38,7.0924,0.748,6,2.8
,43,Tc,technetium,99,7,5,1.83,1.35,1.56,,0.79,1.36,2430,4538,33.29,11,,,0.506,7.28,0.55,7,2.23
